name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,STAT_BARINEL_Paths_After average wasted effort,STAT_BARINEL_Paths_After average fix accuracy,STAT_BARINEL_Paths_After average fix accuracy increase,STAT_BARINEL_Paths_Difference average wasted effort,STAT_BARINEL_Paths_Difference average fix accuracy,STAT_BARINEL_Paths_Difference average fix accuracy increase
elusage,7,3,26.66666666666667,45.45454545454546,-9.090909090909092,66.66666666666667,12.121212121212123,0.0,69.69696969696969,15.15151515151515,0.0,69.69696969696969,15.15151515151515
energy-y1,59,9,27.63157894736842,89.54248366013074,21.71387073347858,89.54248366013073,21.713870733478576,3.5555555555555554,73.34785766158315,5.51924473493101,1.8888888888888888,68.70007262164125,0.8714596949891086
energy-y2,57,9,24.26900584795321,86.9281045751634,24.90922294843864,91.06753812636165,29.048656499636895,3.0,71.67755991285402,9.658678286129268,1.1111111111111112,67.82861292665214,5.809731299927381
horse-colic,19,7,22.22222222222223,63.013698630137,4.5009784735812115,81.80039138943248,23.28767123287671,2.142857142857143,65.36203522504893,6.8493150684931505,0.8571428571428571,63.992172211350294,5.47945205479452
ionosphere,5,4,26.428571428571427,85.35714285714286,28.21428571428571,87.14285714285715,30.0,0.0,84.64285714285714,27.499999999999996,0.0,84.64285714285714,27.499999999999996
iris,13,8,38.333333333333336,78.33333333333333,21.66666666666667,94.58333333333333,37.916666666666664,0.75,66.25,9.583333333333334,1.0,63.33333333333333,6.666666666666669
low-res-spect,59,7,32.345013477088955,75.47169811320755,20.350404312668466,85.98382749326147,30.862533692722376,4.142857142857143,75.47169811320757,20.35040431266847,4.0,66.0377358490566,10.916442048517524
lowbwt,7,2,30.55555555555555,81.08108108108108,27.027027027027028,51.351351351351354,-2.7027027027027026,1.0,55.4054054054054,1.3513513513513487,0.5,55.4054054054054,1.3513513513513487
mammographic,17,3,23.26388888888889,82.8125,22.048611111111114,82.9861111111111,22.222222222222218,2.6666666666666665,83.85416666666667,23.090277777777782,1.0,82.81250000000001,22.048611111111114
meta,19,4,18.75,83.80952380952381,18.571428571428573,89.04761904761904,23.809523809523807,1.25,52.14285714285714,-13.095238095238098,1.0,53.09523809523809,-12.142857142857146
mfeat-morphological,17,1,21.999999999999996,98.25,18.000000000000004,100.0,19.75,1.0,34.25,-46.0,1.0,34.25,-46.0
molec-biol-splice,57,19,18.099323543969643,85.89341692789965,12.159709618874777,88.29401088929221,14.560303580267286,4.842105263157895,80.34152780069296,6.607820491668041,2.526315789473684,81.30671506352088,7.5730077544959595
monks-1,51,16,28.295454545454543,67.56756756756758,-4.054054054054057,74.38063063063065,2.759009009009008,1.1875,76.40765765765765,4.786036036036035,1.125,73.19819819819818,1.5765765765765751
monks-3,27,10,29.090909090909093,88.36363636363636,14.545454545454547,82.72727272727273,8.90909090909091,1.5,78.54545454545453,4.7272727272727275,1.0,74.27272727272727,0.4545454545454552
oocytes_merluccius_states_2f,21,5,16.27450980392157,81.37254901960785,12.843137254901965,86.47058823529412,17.941176470588236,2.8,76.76470588235294,8.235294117647062,1.0,85.68627450980391,17.156862745098042
oocytes_trisopterus_states_5b,17,11,29.970029970029973,76.92307692307692,16.333666333666336,88.31168831168833,27.722277722277724,1.8181818181818181,77.57242757242757,16.98301698301698,1.5454545454545454,68.43156843156844,7.842157842157842
parkinsons,3,3,28.070175438596493,86.32478632478633,20.51282051282051,87.17948717948718,21.367521367521366,0.0,65.81196581196582,0.0,0.0,65.81196581196582,0.0
pittsburg-bridges-MATERIAL,5,3,56.666666666666664,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,0.6666666666666666,87.3015873015873,38.0952380952381,0.0,87.3015873015873,38.0952380952381
prnn_synth,13,3,25.33333333333334,82.0,22.666666666666668,78.0,18.66666666666666,0.6666666666666666,70.66666666666667,11.333333333333334,0.3333333333333333,74.66666666666667,15.333333333333334
rabe_131,3,5,32.0,60.0,-4.000000000000002,62.0,-1.9999999999999996,0.0,72.0,8.0,0.0,68.0,4.0
schlvote,3,1,33.33333333333333,85.71428571428571,57.14285714285714,14.285714285714285,-14.285714285714285,0.0,85.71428571428571,57.14285714285714,0.0,85.71428571428571,57.14285714285714
seeds,15,5,28.571428571428573,80.47619047619047,29.523809523809526,85.23809523809523,34.28571428571428,0.8,59.52380952380952,8.571428571428573,0.4,58.57142857142857,7.619047619047622
soybean,59,18,20.58823529411765,52.20588235294119,-5.473856209150322,85.74346405228758,28.063725490196077,4.111111111111111,59.51797385620916,1.838235294117649,2.1666666666666665,59.313725490196084,1.6339869281045756
spect,3,2,36.53846153846155,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,75.47169811320755,38.67924528301887,0.0,75.47169811320755,38.67924528301887
squash-unstored,5,5,44.0,80.0,22.000000000000007,58.0,0.0,0.2,64.0,6.000000000000003,0.2,64.0,6.000000000000003
statlog-image,57,21,25.6441970727685,88.72397443826016,19.995877138734283,91.26984126984127,22.541743970315398,3.0476190476190474,72.95403009688724,4.225932797361371,2.1904761904761907,72.41805813234386,3.6899608328179747
synthetic-control,39,15,23.666666666666664,66.66666666666664,-0.05555555555556069,89.05555555555557,22.33333333333333,3.2,72.77777777777779,6.055555555555555,1.3333333333333333,71.22222222222221,4.499999999999998
tic-tac-toe,49,9,17.192982456140353,71.20418848167539,-6.922629435718444,91.27399650959859,13.147178592204769,4.0,78.70855148342059,0.5817335660267591,1.7777777777777777,76.14892379290285,-1.9778941244909827
transplant,7,3,58.97435897435897,89.74358974358974,39.74358974358975,73.07692307692308,23.07692307692308,0.0,70.51282051282051,20.512820512820515,0.0,73.07692307692308,23.07692307692308
vertebral-column-2clases,9,2,27.41935483870968,70.96774193548387,21.774193548387096,70.16129032258064,20.967741935483865,3.0,66.12903225806451,16.935483870967737,1.0,44.354838709677416,-4.8387096774193585
wall-following,41,21,33.87505460899956,95.94954388721574,30.387150277159442,96.30745056959537,30.745056959539088,2.2857142857142856,80.5246388197809,14.962245209724585,0.7619047619047619,82.37964296626076,16.817249356204442
wine,9,6,19.607843137254893,61.9047619047619,-2.380952380952382,91.90476190476191,27.61904761904762,0.8333333333333334,64.76190476190476,0.47619047619047566,0.5,65.23809523809524,0.952380952380952
zoo,15,5,34.0,75.0,18.0,92.0,34.99999999999999,1.0,57.0,0.0,0.6,60.0,3.0000000000000004
TOTAL,31.155619596541786,6.673076923076923,29.565163567229774,77.38021973195248,15.548389642154346,83.92232576187084,22.090495672072695,2.0605187319884726,71.96460053773473,10.13277044793659,1.1729106628242074,70.71079795827123,8.87896786847309
