name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,BARINEL_Features average wasted effort,BARINEL_Features average fix accuracy,BARINEL_Features average fix accuracy increase
meta,19,4,65.23809523809524,83.80952380952381,18.571428571428573,89.04761904761904,23.809523809523807,0.0,69.04761904761904,3.809523809523807
mfeat-morphological,17,6,88.41666666666667,99.25,10.833333333333341,99.79166666666667,11.375000000000002,0.5,92.20833333333333,3.7916666666666714
molec-biol-splice,57,21,74.57829526795042,85.89341692789965,11.31512165994925,88.52067472757128,13.942379459620843,0.8571428571428571,77.01895805344078,2.4406627854903724
monks-1,51,17,72.1250662427133,67.56756756756758,-4.557498675145737,74.56279809220986,2.4377318494965543,3.8823529411764706,79.4912559618442,7.366189719130894
monks-3,27,10,73.8181818181818,88.36363636363636,14.545454545454547,82.72727272727273,8.90909090909091,2.0,85.72727272727272,11.90909090909091
oocytes_merluccius_states_2f,21,5,68.52941176470588,81.37254901960785,12.843137254901965,86.47058823529412,17.94117647058824,1.0,69.2156862745098,0.686274509803928
oocytes_trisopterus_states_5b,17,11,60.58941058941059,76.92307692307692,16.333666333666336,88.31168831168833,27.722277722277724,1.6363636363636365,69.08091908091909,8.491508491508492
parkinsons,3,4,69.23076923076923,86.53846153846155,17.307692307692307,87.17948717948718,17.94871794871795,0.0,80.12820512820514,10.897435897435898
pittsburg-bridges-MATERIAL,5,3,49.206349206349195,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,0.6666666666666666,68.25396825396825,19.047619047619047
prnn_synth,13,4,60.5,80.0,19.5,74.0,13.499999999999996,1.0,72.5,12.0
rabe_131,3,6,66.66666666666667,60.0,-6.666666666666669,66.66666666666667,0.0,0.0,71.66666666666667,4.999999999999997
schlvote,3,3,38.095238095238095,85.71428571428571,47.61904761904761,23.809523809523807,-14.285714285714285,0.0,42.857142857142854,4.761904761904762
seeds,15,8,57.44047619047619,80.95238095238095,23.511904761904763,85.1190476190476,27.678571428571427,1.0,66.96428571428572,9.523809523809524
soybean,59,21,58.2983193277311,52.205882352941195,-6.092436974789912,85.18907563025209,26.890756302521016,0.7142857142857143,65.02100840336136,6.722689075630252
spect,3,2,36.79245283018868,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,77.35849056603774,40.566037735849065
squash-unstored,5,6,61.666666666666664,80.0,18.33333333333334,56.666666666666664,-5.0,0.3333333333333333,75.0,13.333333333333334
statlog-image,57,22,69.37229437229439,88.75442739079102,19.382133018496653,91.44037780401416,22.068083431719796,0.8181818181818182,72.99291617473438,3.620621802439985
synthetic-control,39,19,68.6842105263158,66.79824561403508,-1.8859649122807074,89.34210526315789,20.657894736842103,0.8421052631578947,73.50877192982458,4.824561403508771
tic-tac-toe,49,11,79.29557353641123,71.20418848167539,-8.091385054735845,91.14707282246549,11.851499286054256,0.7272727272727273,85.14992860542598,5.854355069014755
transplant,7,4,56.73076923076923,88.46153846153847,31.730769230769234,74.03846153846155,17.30769230769231,0.0,58.653846153846146,1.9230769230769207
vertebral-column-2clases,9,3,55.376344086021504,70.96774193548387,15.591397849462368,72.58064516129032,17.204301075268813,0.0,80.64516129032258,25.268817204301072
vertebral-column-3clases,9,6,51.34408602150537,69.35483870967742,18.01075268817205,59.13978494623657,7.795698924731184,0.0,74.19354838709677,22.849462365591403
wall-following,41,21,65.5623936100563,95.94954388721575,30.387150277159442,96.30745056959539,30.745056959539085,1.4285714285714286,71.02701758980403,5.46462397974772
wine,9,7,64.89795918367348,62.0408163265306,-2.857142857142858,91.83673469387756,26.938775510204078,0.5714285714285714,73.06122448979592,8.163265306122451
zoo,15,9,67.22222222222223,75.0,7.777777777777778,90.0,22.77777777777778,0.5555555555555556,77.22222222222223,10.000000000000002
TOTAL,30.21395348837209,7.962962962962963,63.73825721650789,76.87693576634297,13.13867854983509,83.23352923592046,19.49527201941256,1.6,73.65310494307751,9.914847726569619
