name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,STAT_BARINEL average wasted effort,STAT_BARINEL average fix accuracy,STAT_BARINEL average fix accuracy increase
molec-biol-splice,57,19,18.09932354396965,85.89341692789965,12.159709618874775,88.2940108892922,14.560303580267282,6.052631578947368,77.62745421547599,3.8937469064510806
monks-1,51,16,28.295454545454543,67.56756756756758,-4.054054054054056,74.38063063063062,2.759009009009008,1.875,76.18243243243245,4.560810810810809
monks-3,27,10,29.090909090909093,88.36363636363636,14.545454545454547,82.72727272727273,8.90909090909091,1.5,78.63636363636363,4.8181818181818175
oocytes_merluccius_states_2f,21,5,16.27450980392157,81.37254901960785,12.843137254901965,86.47058823529412,17.941176470588236,2.0,75.98039215686273,7.450980392156867
oocytes_trisopterus_states_5b,17,11,29.970029970029973,76.92307692307692,16.333666333666336,88.31168831168833,27.722277722277724,1.7272727272727273,78.82117882117883,18.231768231768232
parkinsons,3,3,28.070175438596493,86.32478632478633,20.51282051282051,87.17948717948718,21.367521367521366,0.0,80.34188034188035,14.52991452991453
pittsburg-bridges-MATERIAL,5,3,56.666666666666664,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,0.6666666666666666,87.3015873015873,38.0952380952381
prnn_synth,13,3,25.33333333333334,82.0,22.666666666666668,78.0,18.666666666666664,0.6666666666666666,70.66666666666667,11.333333333333334
rabe_131,3,5,32.0,60.0,-4.000000000000002,62.0,-1.9999999999999996,0.0,68.0,4.0
schlvote,3,1,33.33333333333333,85.71428571428571,57.14285714285714,14.285714285714285,-14.285714285714285,0.0,85.71428571428571,57.14285714285714
seeds,15,5,28.571428571428566,80.47619047619048,29.52380952380952,85.23809523809524,34.285714285714285,0.6,58.57142857142857,7.619047619047618
socmob,37,4,44.347826086956516,76.19047619047619,32.467532467532465,67.85714285714286,24.134199134199136,0.75,39.61038961038961,-4.112554112554112
soybean,59,18,20.58823529411765,52.20588235294119,-5.4738562091503224,85.74346405228759,28.06372549019608,4.166666666666667,59.232026143790854,1.5522875816993482
spect,3,2,36.53846153846155,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,75.47169811320755,38.67924528301887
squash-unstored,5,5,44.0,80.0,22.000000000000007,58.0,0.0,0.2,64.0,6.000000000000003
statlog-image,57,21,25.6441970727685,88.72397443826016,19.99587713873428,91.26984126984128,22.541743970315398,3.3333333333333335,72.60358688930117,3.875489589775304
synthetic-control,39,15,23.666666666666668,66.66666666666664,-0.05555555555556045,89.05555555555559,22.33333333333333,2.466666666666667,71.66666666666667,4.944444444444442
tic-tac-toe,49,9,17.192982456140353,71.20418848167539,-6.922629435718445,91.2739965095986,13.14717859220477,4.222222222222222,77.89412449098313,-0.23269342641070537
transplant,7,3,58.97435897435897,89.74358974358974,39.74358974358975,73.07692307692308,23.07692307692308,0.0,70.51282051282051,20.512820512820515
vertebral-column-2clases,9,2,27.41935483870968,70.96774193548387,21.774193548387096,70.16129032258064,20.967741935483865,1.0,45.96774193548387,-3.2258064516129084
wall-following,41,21,33.87505460899957,95.94954388721577,30.387150277159446,96.30745056959537,30.745056959539095,3.380952380952381,79.95722578673998,14.394832176683687
wine,9,6,19.607843137254896,61.904761904761905,-2.380952380952382,91.90476190476191,27.619047619047617,1.0,59.52380952380952,-4.761904761904764
zoo,15,5,34.0,75.0,18.0,92.0,35.0,1.0,60.0,3.0000000000000004
TOTAL,31.426136363636363,6.6415094339622645,29.649156426637944,77.34810080989418,15.696481067322974,83.73809359128148,22.086473848710288,2.196022727272727,70.58280151840513,8.931181775833947
