name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,STAT_BARINEL average wasted effort,STAT_BARINEL average fix accuracy,STAT_BARINEL average fix accuracy increase
diggle_table_a2,3,5,36.774193548387096,93.87096774193549,29.67741935483871,85.80645161290322,21.612903225806445,0.0,64.19354838709677,0.0
echocardiogram,3,2,42.30769230769231,69.23076923076923,19.23076923076923,88.46153846153845,38.46153846153846,0.0,88.46153846153845,38.46153846153846
ecoli,11,7,32.46753246753247,67.16417910447761,15.138592750533054,76.33262260127933,24.307036247334757,1.5714285714285714,62.89978678038379,10.87420042643923
elusage,7,3,26.66666666666667,45.45454545454546,-9.090909090909092,66.66666666666667,12.121212121212123,0.0,66.66666666666667,12.121212121212123
energy-y1,59,9,27.631578947368425,89.54248366013074,21.71387073347858,89.54248366013073,21.713870733478576,0.3333333333333333,80.53740014524328,12.70878721859114
energy-y2,57,9,24.26900584795321,86.9281045751634,24.909222948438632,91.06753812636167,29.04865649963689,0.3333333333333333,76.03485838779955,14.015976761074803
horse-colic,19,7,22.22222222222222,63.013698630137,4.500978473581211,81.80039138943246,23.28767123287671,1.1428571428571428,65.36203522504893,6.8493150684931505
ionosphere,5,4,26.428571428571427,85.35714285714286,28.21428571428571,87.14285714285715,30.0,0.0,86.42857142857143,29.28571428571428
iris,13,8,38.333333333333336,78.33333333333334,21.66666666666667,94.58333333333334,37.91666666666667,0.75,74.58333333333334,17.91666666666667
low-res-spect,59,7,32.345013477088955,75.47169811320755,20.35040431266847,85.98382749326147,30.862533692722373,0.8571428571428571,57.008086253369264,1.8867924528301898
lowbwt,7,2,30.55555555555555,81.08108108108108,27.027027027027028,51.351351351351354,-2.7027027027027026,1.0,72.97297297297297,18.918918918918912
mammographic,17,3,23.26388888888889,82.8125,22.048611111111114,82.9861111111111,22.222222222222218,4.333333333333333,83.15972222222223,22.39583333333334
meta,19,4,18.75,83.80952380952381,18.571428571428573,89.04761904761904,23.809523809523807,1.25,52.14285714285714,-13.095238095238098
mfeat-morphological,17,1,21.999999999999996,98.25,18.000000000000004,100.0,19.75,1.0,34.25,-46.0
molec-biol-splice,57,19,18.099323543969643,85.89341692789965,12.159709618874778,88.29401088929221,14.560303580267286,4.526315789473684,83.22884012539184,9.49513281636694
monks-1,51,16,28.295454545454543,67.56756756756758,-4.054054054054057,74.38063063063065,2.759009009009008,0.5,81.02477477477477,9.403153153153152
monks-3,27,10,29.090909090909093,88.36363636363636,14.545454545454547,82.72727272727273,8.90909090909091,0.8,77.36363636363635,3.545454545454546
oocytes_merluccius_states_2f,21,5,16.27450980392157,81.37254901960785,12.843137254901965,86.47058823529412,17.94117647058824,2.2,75.09803921568627,6.568627450980398
oocytes_trisopterus_states_5b,17,11,29.970029970029966,76.92307692307692,16.333666333666333,88.31168831168831,27.722277722277724,2.090909090909091,84.71528471528471,24.12587412587413
parkinsons,3,3,28.070175438596493,86.32478632478633,20.51282051282051,87.17948717948718,21.367521367521366,0.0,80.34188034188035,14.52991452991453
pittsburg-bridges-MATERIAL,5,3,56.666666666666664,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,0.6666666666666666,87.3015873015873,38.095238095238095
prnn_synth,13,3,25.33333333333334,82.0,22.666666666666668,78.0,18.666666666666664,0.0,82.66666666666667,23.333333333333332
rabe_131,3,5,32.0,60.0,-4.000000000000002,62.0,-1.9999999999999996,0.0,64.0,-2.1316282072803005e-15
schlvote,3,1,33.33333333333333,85.71428571428571,57.14285714285714,14.285714285714285,-14.285714285714285,0.0,85.71428571428571,57.14285714285714
seeds,15,5,28.571428571428573,80.47619047619047,29.523809523809526,85.23809523809523,34.28571428571428,0.6,56.19047619047619,5.238095238095237
soybean,59,18,20.588235294117645,52.20588235294119,-5.4738562091503224,85.74346405228756,28.063725490196084,1.7222222222222223,62.949346405228766,5.269607843137255
spect,3,2,36.53846153846155,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,77.35849056603774,40.566037735849065
squash-unstored,5,5,44.0,80.0,22.000000000000007,58.0,0.0,0.4,64.0,6.000000000000003
statlog-image,57,21,25.6441970727685,88.72397443826016,19.995877138734283,91.26984126984127,22.541743970315395,3.0476190476190474,73.06740878169451,4.339311482168625
synthetic-control,39,15,23.666666666666664,66.66666666666664,-0.05555555555556045,89.05555555555557,22.33333333333333,2.533333333333333,73.05555555555556,6.333333333333333
tic-tac-toe,49,9,17.192982456140353,71.20418848167539,-6.922629435718445,91.27399650959862,13.14717859220477,3.888888888888889,78.82489819662595,0.6980802792321125
transplant,7,3,58.97435897435897,89.74358974358974,39.74358974358975,73.07692307692308,23.07692307692308,0.0,73.07692307692307,23.076923076923077
vertebral-column-2clases,9,2,27.41935483870968,70.96774193548387,21.774193548387096,70.16129032258064,20.967741935483865,1.0,45.96774193548387,-3.2258064516129084
wall-following,41,21,33.87505460899957,95.94954388721577,30.387150277159435,96.30745056959539,30.745056959539085,2.238095238095238,78.70018768277248,13.137794072716163
wine,9,6,19.607843137254893,61.9047619047619,-2.380952380952382,91.90476190476191,27.619047619047617,1.5,63.8095238095238,-0.47619047619047744
zoo,15,5,34.0,75.0,18.0,92.0,35.0,1.0,81.0,24.000000000000004
TOTAL,31.155619596541786,6.673076923076923,29.56516356722977,77.38021973195247,15.548389642154342,83.92232576187084,22.090495672072695,1.5446685878962536,73.39225708142312,11.560426991624992
