after size,drift size,drifted features types,total drift type,count,after accuracy decrease,after retrain accuracy increase,before after retrain accuracy increase,STAT_SFLDT fix accuracy increase,STAT_SFLDT wasted effort,BARINEL fix accuracy increase,BARINEL wasted effort,BARINEL_Paths_After fix accuracy increase,BARINEL_Paths_After wasted effort,STAT_BARINEL_Paths_After fix accuracy increase,STAT_BARINEL_Paths_After wasted effort,BARINEL_Paths_Difference fix accuracy increase,BARINEL_Paths_Difference wasted effort,STAT_BARINEL_Paths_Difference fix accuracy increase,STAT_BARINEL_Paths_Difference wasted effort,BARINEL_Features fix accuracy increase,BARINEL_Features wasted effort,BARINEL_Features_Paths_After fix accuracy increase,BARINEL_Features_Paths_After wasted effort,BARINEL_Features_Paths_Difference fix accuracy increase,BARINEL_Features_Paths_Difference wasted effort,SFLDT_Features fix accuracy increase,SFLDT_Features wasted effort,fuzzy participation STAT_SFLDT fix accuracy increase,fuzzy participation STAT_SFLDT wasted effort,fuzzy participation BARINEL fix accuracy increase,fuzzy participation BARINEL wasted effort,fuzzy participation BARINEL_Paths_After fix accuracy increase,fuzzy participation BARINEL_Paths_After wasted effort,fuzzy participation STAT_BARINEL_Paths_After fix accuracy increase,fuzzy participation STAT_BARINEL_Paths_After wasted effort,fuzzy participation BARINEL_Paths_Difference fix accuracy increase,fuzzy participation BARINEL_Paths_Difference wasted effort,fuzzy participation STAT_BARINEL_Paths_Difference fix accuracy increase,fuzzy participation STAT_BARINEL_Paths_Difference wasted effort,fuzzy participation BARINEL_Features fix accuracy increase,fuzzy participation BARINEL_Features wasted effort,fuzzy participation BARINEL_Features_Paths_After fix accuracy increase,fuzzy participation BARINEL_Features_Paths_After wasted effort,fuzzy participation BARINEL_Features_Paths_Difference fix accuracy increase,fuzzy participation BARINEL_Features_Paths_Difference wasted effort,fuzzy participation SFLDT_Features fix accuracy increase,fuzzy participation SFLDT_Features wasted effort
1,2,"numeric, numeric",numeric,11651,700168.8594,-134847.8563,169922.97,88354.23516,317719,85452.73761,7344,74743.23786,7247,75492.09541,11528,63115.59516,7391,63678.44709,7647,97029.01456,12489,79444.93214,12717,65081.00574,10441,92348.20399,15165,,,,,,,,,,,,,,,,,,,,
1,3,"binary, binary, numeric",mixed,512,22635.49784,20363.63636,6558.008658,14268.39827,5440,332.4675325,96,1392.207792,96,15605.19481,0,4419.047619,0,15605.19481,0,3497.835498,96,21977.48918,0,3497.835498,96,21977.48918,0,,,,,,,,,,,,,,,,,,,,
1,3,"binary, numeric, binary",mixed,1892,85064.50216,67378.35498,29465.63853,43706.27706,17592,7464.502165,720,10970.12987,720,47647.61905,0,9947.186147,0,47647.61905,0,9934.199134,752,70491.77489,32,10650.8658,720,71158.44156,0,,,,,,,,,,,,,,,,,,,,
1,3,"numeric, binary, binary",mixed,564,33520.56277,11836.14719,6352.813853,7697.402597,4244,3112.554113,208,5074.458874,208,8779.220779,0,1987.878788,0,8779.220779,0,2915.151515,212,12369.69697,4,2831.818182,208,12236.36364,0,,,,,,,,,,,,,,,,,,,,
1,3,"numeric, numeric, numeric",numeric,133370,7389566.261,-1629825.86,1769044.62,427121.7912,3060783,1102818.874,70205,1083156.425,70736,964528.9117,107875,918522.0275,79462,965997.1787,77450,1144662.844,89312,1072882.032,97841,945077.3121,99807,1084554.703,155074,,,,,,,,,,,,,,,,,,,,
1,4,"binary, binary, binary, numeric",mixed,33024,1452973.16,1320470.996,495869.697,837045.8874,275456,196720.3463,12096,264325.5411,12096,926188.7446,0,220727.2727,0,926188.7446,0,225714.2857,12096,1424952.381,0,225714.2857,12096,1424952.381,0,,,,,,,,,,,,,,,,,,,,
1,4,"binary, numeric, binary, binary",mixed,592,34133.33333,6466.666667,4916.666667,1833.333333,0,866.6666667,0,866.6666667,0,-866.6666667,0,-866.6666667,0,-866.6666667,0,233.3333333,0,233.3333333,0,1733.333333,0,1500,0,,,,,,,,,,,,,,,,,,,,
1,4,"numeric, numeric, numeric, numeric",numeric,312415,16185192.67,2704913.242,6378117.87,4663956.097,3925820,4230279.87,84431,3997774.642,91797,2973377.887,183210,2481689.919,117584,1651551.778,141832,4136119.538,121256,3837147.54,149824,2561630.918,152828,4544802.265,170909,,,,,,,,,,,,,,,,,,,,
2,1,numeric,numeric,335,20649.78722,657.32999,5157.426128,3183.68379,5295,3180.572426,225,3314.439162,176,3113.263122,360,2729.265609,187,2924.262224,190,4214.594553,372,3755.111004,368,2887.611564,338,4248.833275,389,,,,,,,,,,,,,,,,,,,,
2,2,"binary, numeric",mixed,69,4091.666667,958.3333333,200,-37.5,255,-133.3333333,0,-133.3333333,0,-291.6666667,0,-291.6666667,0,-291.6666667,0,233.3333333,17,233.3333333,17,445.8333333,0,433.3333333,0,,,,,,,,,,,,,,,,,,,,
2,2,"numeric, binary",mixed,168,5300,9221.212121,6041.558442,6305.194805,2040,4824.242424,144,4824.242424,144,6348.051948,0,-160.6060606,0,6348.051948,0,872.7272727,144,872.7272727,144,872.7272727,144,9390.909091,0,,,,,,,,,,,,,,,,,,,,
2,2,"numeric, numeric",numeric,9087,538260.8666,2414.114305,142642.0654,58722.23953,207475,79040.88813,5957,76167.00765,4776,61646.84972,10141,54178.37168,5491,59894.74385,5508,92635.54449,9318,87105.19979,9422,56019.72721,9687,92759.46949,10086,,,,,,,,,,,,,,,,,,,,
2,3,"binary, binary, numeric",mixed,3028,100945.0216,158590.0433,98767.96537,99929.22078,28756,82567.96537,1920,82567.96537,1920,100487.013,0,-4707.792208,0,100487.013,0,15361.03896,1924,15361.03896,1924,15811.03896,1920,160332.4675,0,,,,,,,,,,,,,,,,,,,,
2,3,"binary, numeric, binary",mixed,1364,49082.25108,65075.10823,43025.64935,43361.47186,13160,33180.51948,960,33180.51948,960,42587.66234,0,-1724.025974,0,42587.66234,0,5384.415584,992,5384.415584,992,6201.082251,960,64488.74459,0,,,,,,,,,,,,,,,,,,,,
2,3,"numeric, numeric, numeric",numeric,111064,6264461.317,-938683.0615,1469132.259,309367.3165,2472350,1037659.593,59389,973824.3699,55043,854556.3439,96013,684421.094,62753,700925.1226,63185,1116507.086,77959,1047360.061,73449,711347.9771,78454,1024955.149,140194,,,,,,,,,,,,,,,,,,,,
2,4,"binary, binary, binary, numeric",mixed,30720,957506.4935,1697800.866,1089742.857,1032380.952,261120,882147.1861,30720,882147.1861,30720,1044779.221,0,-17731.60173,0,1044779.221,0,159584.4156,30720,159584.4156,30720,159584.4156,30720,1728831.169,0,,,,,,,,,,,,,,,,,,,,
2,4,"binary, binary, numeric, binary",mixed,23040,779220.7792,1212259.74,731593.0736,764233.7662,184320,661610.3896,0,661610.3896,0,767168.8312,0,-74389.61039,0,767168.8312,0,119688.3117,0,119688.3117,0,119688.3117,0,1235532.468,0,,,,,,,,,,,,,,,,,,,,
2,4,"binary, numeric, binary, binary",mixed,592,34400,7200,4633.333333,1900,0,466.6666667,0,466.6666667,0,-1066.666667,0,-1066.666667,0,-1066.666667,0,-766.6666667,0,-766.6666667,0,466.6666667,0,300,0,,,,,,,,,,,,,,,,,,,,
2,4,"numeric, numeric, numeric, numeric",numeric,439742,23115488.57,3054007.475,8944870.361,5125937.327,5847143,5117469.003,164948,4676599.229,136122,3646745.871,300973,1425920.734,200749,1143287.547,204497,5063442.562,208750,4818998.84,198217,1491865.147,245056,5480584.097,200373,,,,,,,,,,,,,,,,,,,,
3,1,numeric,numeric,325,19669.37654,1991.149645,5370.972076,3450.104742,4922,3552.410989,219,3408.554442,176,3564.882287,361,3063.218173,179,3289.542926,181,4591.888716,351,4153.095583,365,3231.240628,340,4722.896659,368,,,,,,,,,,,,,,,,,,,,
3,2,"binary, numeric",mixed,112,5186.147186,2694.372294,1265.584416,2601.948052,1232,1643.506494,48,2038.311688,72,1555.627706,0,-519.6969697,0,1555.627706,0,-528.5714286,56,461.4718615,80,-478.5714286,48,3897.186147,24,,,,,,,,,,,,,,,,,,,,
3,2,"numeric, binary",mixed,181,8667.510823,4296.515152,2167.770563,3467.305195,1695,2355.887446,100,2649.047619,120,1932.619048,4,-1022.705628,4,1932.619048,0,-783.2034632,109,441.038961,129,-637.3701299,100,5181.125541,28,,,,,,,,,,,,,,,,,,,,
3,2,"numeric, numeric",numeric,9152,541628.9204,18931.17301,148242.0377,64307.13548,210030,79574.79618,5993,72042.47777,5190,70417.49017,12025,56881.11931,5774,58427.79663,6201,97067.6928,8737,85092.31175,9151,59468.97895,8623,98996.09596,10396,,,,,,,,,,,,,,,,,,,,
3,3,"binary, binary, numeric",mixed,1536,68020.77922,38867.53247,18442.85714,41423.37662,15296,27096.1039,576,33412.98701,960,26202.5974,0,-5783.982684,0,26202.5974,0,-9041.558442,576,6316.883117,960,-9041.558442,576,59979.22078,384,,,,,,,,,,,,,,,,,,,,
3,3,"binary, numeric, binary",mixed,2960,125339.5671,86730.38961,42930.38961,75973.33333,29984,56577.66234,1744,66372.29437,2112,49414.02597,16,-11007.79221,0,49414.02597,0,-14616.45022,1728,12180.08658,2112,-14616.45022,1728,121081.5584,528,,,,,,,,,,,,,,,,,,,,
3,3,"numeric, binary, binary",mixed,1090,53653.67965,25679.04762,15379.65368,17669.78355,8356,13997.92208,602,15193.93939,634,9318.268398,26,-5534.199134,26,9318.268398,0,-5050.649351,638,545.8874459,670,-5083.982684,602,27885.45455,78,,,,,,,,,,,,,,,,,,,,
3,3,"numeric, binary, numeric",mixed,72,4596.190476,1438.095238,1660.952381,1483.809524,663,1361.904762,50,-860.952381,68,1445.714286,48,-1026.666667,72,1445.714286,0,-1026.666667,72,-969.5238095,68,-1026.666667,72,-1343.809524,72,,,,,,,,,,,,,,,,,,,,
3,3,"numeric, numeric, binary",mixed,24,1497.142857,514.2857143,638.0952381,502.8571429,216,502.8571429,24,-304.7619048,24,502.8571429,24,-304.7619048,24,502.8571429,0,-304.7619048,24,-304.7619048,24,-304.7619048,24,-437.1428571,18,,,,,,,,,,,,,,,,,,,,
3,3,"numeric, numeric, numeric",numeric,103320,5681667.11,-8319.743213,1655501.367,575797.8984,2186413,1006436.482,51783,901386.2767,48465,855443.7176,85807,508535.4675,61749,420843.9844,65668,1151690.116,62826,1009592.37,67596,534728.9197,73754,1248760.858,102923,,,,,,,,,,,,,,,,,,,,
3,4,"binary, binary, binary, numeric",mixed,68432,2893184.416,2044908.225,984445.671,1682595.238,558592,1325291.342,30720,1555248.052,38400,1116832.9,0,-147530.7359,0,1116832.9,0,-275462.7706,30720,292429.8701,38400,-273762.7706,30720,2808387.446,10240,,,,,,,,,,,,,,,,,,,,
3,4,"numeric, binary, binary, binary",mixed,164,9657.142857,4087.619048,4340.952381,1548.571429,1688,1548.571429,164,-1687.619048,52,1548.571429,164,-1687.619048,52,1548.571429,0,-1687.619048,52,-1687.619048,52,-1687.619048,52,-2728.571429,74,,,,,,,,,,,,,,,,,,,,
3,4,"numeric, binary, binary, numeric",mixed,394,25885.71429,7135.238095,8420,4325.714286,3660,3660.952381,248,-4266.666667,280,4078.095238,238,-5184.761905,306,4078.095238,0,-5184.761905,306,-4963.809524,280,-5184.761905,306,-7937.142857,246,,,,,,,,,,,,,,,,,,,,
3,4,"numeric, binary, numeric, binary",mixed,92,6354.285714,1356.190476,1466.666667,140.952381,564,-159.047619,0,-1474.285714,0,-17.14285714,0,-1394.285714,0,-17.14285714,0,-1394.285714,0,-1838.095238,0,-1394.285714,0,-2201.904762,92,,,,,,,,,,,,,,,,,,,,
3,4,"numeric, binary, numeric, numeric",mixed,144,9337.142857,2731.428571,3177.142857,2868.571429,1152,2308.571429,12,-388.5714286,120,2640,0,-1040,144,2640,0,-1040,144,-1040,120,-1040,144,-2723.809524,144,,,,,,,,,,,,,,,,,,,,
3,4,"numeric, numeric, binary, binary",mixed,276,18367.61905,5001.904762,5500,2287.619048,2538,2287.619048,276,-1491.428571,156,2287.619048,276,-1491.428571,156,2287.619048,0,-1491.428571,156,-1491.428571,156,-1491.428571,156,-4954.285714,177,,,,,,,,,,,,,,,,,,,,
3,4,"numeric, numeric, binary, numeric",mixed,576,36651.42857,11622.85714,13995.2381,11771.42857,4752,10466.66667,312,-2944.761905,528,11314.28571,288,-4617.142857,576,11314.28571,0,-4617.142857,576,-4247.619048,528,-4617.142857,576,-10696.19048,510,,,,,,,,,,,,,,,,,,,,
3,4,"numeric, numeric, numeric, binary",mixed,144,8994.285714,3074.285714,3817.142857,3017.142857,1296,3017.142857,144,-1238.095238,144,3017.142857,144,-1238.095238,144,3017.142857,0,-1238.095238,144,-1238.095238,144,-1238.095238,144,-2620.952381,108,,,,,,,,,,,,,,,,,,,,
3,4,"numeric, numeric, numeric, numeric",numeric,377370,20341889.14,821236.1718,6401165.5,3248297.635,5038779,3227969.795,168665,2962589.506,163974,2932369.065,235872,1312718.932,192094,1038492.358,194815,3743384.004,175805,3291590.407,191497,1466276.994,229947,5217830.261,118134,,,,,,,,,,,,,,,,,,,,
4,1,numeric,numeric,333,20413.15266,2802.849512,5794.444452,3814.539065,5222,3532.91525,257,3390.1142,182,3794.88886,446,3164.320925,190,3580.726488,182,4459.343416,362,4087.426438,378,3312.275221,359,5252.46893,319,,,,,,,,,,,,,,,,,,,,
4,2,"binary, binary",binary,4,256.1904762,79.04761905,-10.47619048,0,36,-2.857142857,8,17.14285714,0,0,4,17.14285714,0,0,0,17.14285714,0,17.14285714,0,17.14285714,0,-2.857142857,4,,,,,,,,,,,,,,,,,,,,
4,2,"binary, numeric",mixed,64,3173.766234,1905.367965,1064.502165,1031.515152,492,788.2251082,32,439.6536797,32,898.1818182,8,-172.9004329,8,898.1818182,0,108.4848485,48,108.4848485,48,208.4848485,32,1275.670996,8,,,,,,,,,,,,,,,,,,,,
4,2,"numeric, binary",mixed,181,6710.281385,7807.251082,4577.489177,4860.768398,1767,4101.731602,120,4101.731602,120,4739.935065,0,883.6580087,0,4739.935065,0,848.0519481,121,848.0519481,121,960.5519481,120,7596.103896,0,,,,,,,,,,,,,,,,,,,,
4,2,"numeric, numeric",numeric,10163,613267.3239,57167.75614,190881.0722,87939.7884,244518,87038.99889,7950,79234.52378,5813,84384.8027,14806,66190.2411,6499,73674.02588,6451,101524.2231,11357,96499.32283,11431,67350.25384,10697,114087.7332,11238,,,,,,,,,,,,,,,,,,,,
4,3,"binary, binary, binary",binary,48,3081.904762,940.952381,-131.4285714,0,608,-61.9047619,80,182.8571429,0,0,48,182.8571429,0,0,0,182.8571429,0,182.8571429,0,182.8571429,0,-61.9047619,32,,,,,,,,,,,,,,,,,,,,
4,3,"binary, binary, numeric",mixed,192,5984.415584,10053.67965,6305.627706,6926.406926,1824,5513.419913,192,5513.419913,192,6926.406926,0,1146.320346,0,6926.406926,0,997.4025974,192,997.4025974,192,997.4025974,192,9946.320346,0,,,,,,,,,,,,,,,,,,,,
4,3,"binary, numeric, binary",mixed,2026,67591.86147,100769.0043,61402.33766,65141.38528,19854,55998.00866,1680,53783.72294,1596,65233.76623,106,12549.09091,60,65102.33766,3,8623.549784,1596,8623.549784,1596,8623.549784,1596,96562.1645,94,,,,,,,,,,,,,,,,,,,,
4,3,"binary, numeric, numeric",mixed,48,3028.571429,994.2857143,1188.571429,1005.714286,456,1005.714286,48,-453.3333333,48,1005.714286,48,-453.3333333,48,1005.714286,0,-453.3333333,48,-453.3333333,48,-453.3333333,48,-1302.857143,48,,,,,,,,,,,,,,,,,,,,
4,3,"numeric, binary, binary",mixed,2340,89516.70996,99027.44589,58481.55844,58880.60606,20420,54170.38961,1232,54265.62771,1160,56070.12987,44,13838.78788,8,56080.60606,0,8005.454545,1196,8005.454545,1196,7972.121212,1160,94903.98268,52,,,,,,,,,,,,,,,,,,,,
4,3,"numeric, binary, numeric",mixed,68,4209.52381,1489.52381,1792.380952,1601.904762,578,1563.809524,48,-1001.904762,68,1563.809524,48,-1001.904762,68,1563.809524,0,-1001.904762,68,-1001.904762,68,-1001.904762,68,-1729.52381,68,,,,,,,,,,,,,,,,,,,,
4,3,"numeric, numeric, binary",mixed,68,4098.095238,1600.952381,1937.142857,1936.190476,590,1898.095238,48,-700,68,1898.095238,48,-700,68,1898.095238,0,-700,68,-700,68,-700,68,-1562.857143,68,,,,,,,,,,,,,,,,,,,,
4,3,"numeric, numeric, numeric",numeric,96360,5243656.786,-259335.8674,1662217.899,762941.3321,2084606,887226.8008,55070,822558.995,52729,866602.0893,90194,694899.3409,56448,665763.9054,57982,962634.9113,66427,902549.5009,68159,706293.8974,69007,1041379.96,109883,,,,,,,,,,,,,,,,,,,,
4,4,"binary, binary, binary, binary",binary,128,8202.857143,2524.761905,-358.0952381,0,1408,-139.047619,128,409.5238095,0,0,128,409.5238095,0,0,0,409.5238095,0,409.5238095,0,409.5238095,0,-139.047619,0,,,,,,,,,,,,,,,,,,,,
4,4,"binary, binary, binary, numeric",mixed,596,36983.80952,12966.66667,1744.761905,899.047619,6370,543.8095238,726,1146.666667,0,854.2857143,468,1146.666667,0,1063.809524,0,1146.666667,0,1146.666667,0,1146.666667,0,-3214.285714,490,,,,,,,,,,,,,,,,,,,,
4,4,"binary, binary, numeric, binary",mixed,8060,266949.3506,399606.4935,246366.4069,188509.697,71352,220780.6061,6364,220326.3203,6230,188353.5065,252,55339.30736,86,188509.697,0,39685.62771,6230,39685.62771,6230,39685.62771,6230,391161.039,0,,,,,,,,,,,,,,,,,,,,
4,4,"binary, binary, numeric, numeric",mixed,912,57276.19048,19158.09524,15910.47619,12443.80952,8034,10736.19048,576,-5783.809524,528,12711.42857,456,-5783.809524,528,11385.71429,40,-5783.809524,528,-5783.809524,528,-5783.809524,528,-19171.42857,912,,,,,,,,,,,,,,,,,,,,
4,4,"binary, numeric, binary, binary",mixed,30944,1003343.55,1562740.606,903801.3853,905253.6797,250432,881936.71,18784,881861.4719,18432,905253.6797,224,262058.8745,0,905253.6797,0,159298.7013,18432,159298.7013,18432,159298.7013,18432,1558618.961,128,,,,,,,,,,,,,,,,,,,,
4,4,"binary, numeric, binary, numeric",mixed,617,38742.85714,12967.61905,11899.04762,6939.047619,5533,5881.904762,696,-5053.333333,354,7415.238095,553,-5053.333333,354,6844.761905,18,-5053.333333,354,-5053.333333,354,-5053.333333,354,-11429.52381,551,,,,,,,,,,,,,,,,,,,,
4,4,"binary, numeric, numeric, binary",mixed,147,10420,1900,2505.714286,272.3809524,1307,-418.0952381,76,-3628.571429,147,142.8571429,72,-3628.571429,147,234.2857143,0,-3628.571429,147,-3628.571429,147,-3628.571429,147,-3584.761905,0,,,,,,,,,,,,,,,,,,,,
4,4,"binary, numeric, numeric, numeric",mixed,504,31708.57143,10531.42857,12088.57143,11228.57143,3792,10542.85714,144,-2763.809524,504,10542.85714,144,-2763.809524,504,10542.85714,0,-2763.809524,504,-2763.809524,504,-2763.809524,504,-12920,504,,,,,,,,,,,,,,,,,,,,
4,4,"numeric, binary, binary, binary",mixed,16336,568618.1818,782674.632,428115.3247,527937.1429,122880,436157.4026,6720,437812.6407,6144,523470.4762,384,146231.6883,0,523470.4762,0,78131.25541,6144,78131.25541,6144,76331.25541,6144,765753.0736,192,,,,,,,,,,,,,,,,,,,,
4,4,"numeric, binary, binary, numeric",mixed,766,46360,17838.09524,10610.47619,9600.952381,7108,8586.666667,868,-3521.904762,288,10029.52381,670,-3521.904762,288,9463.809524,18,-3521.904762,288,-3521.904762,288,-3521.904762,288,-11759.04762,766,,,,,,,,,,,,,,,,,,,,
4,4,"numeric, binary, numeric, binary",mixed,222,13500,5105.714286,4442.857143,2408.571429,2052,2185.714286,324,-1752.380952,120,2408.571429,222,-1752.380952,120,2408.571429,0,-1752.380952,120,-1752.380952,120,-1752.380952,120,-2574.285714,102,,,,,,,,,,,,,,,,,,,,
4,4,"numeric, binary, numeric, numeric",mixed,936,57577.14286,20868.57143,24585.71429,23417.14286,7512,22731.42857,576,-5569.52381,936,22731.42857,576,-5569.52381,936,22731.42857,0,-5569.52381,936,-5569.52381,936,-5569.52381,936,-23062.85714,936,,,,,,,,,,,,,,,,,,,,
4,4,"numeric, numeric, binary, numeric",mixed,144,8480,3588.571429,4085.714286,4148.571429,1152,4148.571429,144,-723.8095238,144,4148.571429,144,-723.8095238,144,4148.571429,0,-723.8095238,144,-723.8095238,144,-723.8095238,144,-3325.714286,144,,,,,,,,,,,,,,,,,,,,
4,4,"numeric, numeric, numeric, numeric",numeric,240653,13394905.62,2395636.215,5350299.581,2393090.316,2811290,2008844.766,102073,2070584.997,95944,1973825.388,145820,1183875.06,115599,1034858.411,110731,2449223.038,120896,2282620.182,118217,1202384.388,140418,2634857.636,88717,,,,,,,,,,,,,,,,,,,,
5,1,binary,binary,4,260.952381,74.28571429,54.28571429,-48.57142857,4,39.04761905,8,15.23809524,0,-55.23809524,8,15.23809524,0,15.23809524,0,15.23809524,0,15.23809524,0,15.23809524,0,45.71428571,4,,,,,,,,,,,,,,,,,,,,
5,1,numeric,numeric,362,22452.42974,3378.53666,6336.293713,4210.283583,5577,3449.585866,299,3737.556577,207,3917.187071,481,3294.80204,213,3630.165735,213,4616.209274,440,4226.98129,449,3462.962643,387,5474.254002,360,,,,,,,,,,,,,,,,,,,,
5,2,"binary, binary",binary,64,4140.952381,1222.857143,914.2857143,-777.1428571,740,388.5714286,128,232.3809524,0,-910.4761905,128,232.3809524,0,19.04761905,20,232.3809524,0,232.3809524,0,232.3809524,0,731.4285714,64,,,,,,,,,,,,,,,,,,,,
5,2,"binary, numeric",mixed,180,7502.467532,7877.445887,2533.939394,3798.138528,1908,3613.982684,124,3522.554113,100,3623.376623,52,574.1125541,0,4081.471861,0,619.5670996,104,650.04329,108,769.5670996,96,6730.4329,24,,,,,,,,,,,,,,,,,,,,
