name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,FuzzySFLDT average wasted effort,FuzzySFLDT average fix accuracy,FuzzySFLDT average fix accuracy increase
energy-y2,57,9,24.269005847953217,86.9281045751634,24.909222948438643,91.06753812636165,29.04865649963689,40.333333333333336,62.599854756717505,0.5809731299927376
horse-colic,19,7,22.222222222222225,63.013698630137,4.500978473581211,81.80039138943248,23.287671232876708,5.571428571428571,60.27397260273972,1.7612524461839527
ionosphere,5,4,26.428571428571423,85.35714285714285,28.214285714285708,87.14285714285714,30.0,0.5,73.92857142857143,16.78571428571428
iris,13,8,38.333333333333336,78.33333333333333,21.66666666666667,94.58333333333333,37.916666666666664,4.875,71.25,14.583333333333334
low-res-spect,59,7,32.345013477088955,75.47169811320755,20.35040431266847,85.98382749326147,30.862533692722376,14.142857142857142,81.53638814016172,26.41509433962264
lowbwt,7,2,30.55555555555555,81.08108108108108,27.027027027027028,51.351351351351354,-2.7027027027027026,2.0,51.351351351351354,-2.7027027027027026
mammographic,17,3,23.26388888888889,82.8125,22.048611111111114,82.9861111111111,22.222222222222218,9.333333333333334,83.15972222222223,22.39583333333334
meta,19,4,18.75,83.80952380952381,18.571428571428573,89.04761904761904,23.809523809523807,14.75,53.09523809523809,-12.142857142857146
mfeat-morphological,17,1,21.999999999999996,98.25,18.000000000000004,100.0,19.75,12.0,34.25,-46.0
molec-biol-splice,57,19,18.09932354396964,85.89341692789965,12.15970961887478,88.29401088929221,14.560303580267282,24.736842105263158,77.79244349117306,4.05873618214816
monks-1,51,16,28.295454545454547,67.56756756756758,-4.054054054054057,74.38063063063062,2.7590090090090094,30.6875,73.81756756756758,2.195945945945945
monks-3,27,10,29.090909090909086,88.36363636363639,14.54545454545455,82.72727272727272,8.90909090909091,15.2,75.27272727272728,1.4545454545454561
oocytes_merluccius_states_2f,21,5,16.27450980392157,81.37254901960785,12.843137254901965,86.47058823529412,17.941176470588236,7.4,85.68627450980391,17.156862745098042
oocytes_trisopterus_states_5b,17,11,29.970029970029973,76.92307692307692,16.333666333666336,88.31168831168833,27.722277722277724,6.2727272727272725,79.22077922077924,18.63136863136863
parkinsons,3,3,28.070175438596493,86.32478632478633,20.51282051282051,87.17948717948718,21.367521367521366,0.0,65.81196581196582,0.0
pittsburg-bridges-MATERIAL,5,3,56.666666666666664,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,1.3333333333333333,87.3015873015873,38.0952380952381
prnn_synth,13,3,25.33333333333334,82.0,22.666666666666668,78.0,18.66666666666666,3.0,73.33333333333333,14.0
rabe_131,3,5,32.0,60.0,-4.000000000000002,62.0,-1.9999999999999996,0.0,60.0,-4.000000000000002
schlvote,3,1,33.33333333333333,85.71428571428571,57.14285714285714,14.285714285714285,-14.285714285714285,0.0,28.57142857142857,0.0
seeds,15,5,28.571428571428566,80.47619047619048,29.52380952380952,85.23809523809524,34.285714285714285,6.2,57.14285714285715,6.1904761904761925
soybean,59,18,20.58823529411765,52.20588235294119,-5.473856209150322,85.74346405228759,28.06372549019608,10.722222222222221,59.681372549019606,2.0016339869281055
spect,3,2,36.53846153846155,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,75.47169811320755,38.67924528301887
squash-unstored,5,5,44.0,80.0,22.000000000000007,58.0,0.0,0.8,60.0,2.000000000000003
statlog-image,57,21,25.644197072768502,88.72397443826016,19.99587713873428,91.26984126984127,22.5417439703154,33.333333333333336,71.62440733869306,2.896310039167181
synthetic-control,39,15,23.666666666666664,66.66666666666664,-0.055555555555560805,89.05555555555556,22.33333333333333,11.466666666666667,69.72222222222221,3.0000000000000004
tic-tac-toe,49,9,17.192982456140353,71.20418848167539,-6.922629435718444,91.27399650959859,13.14717859220477,36.77777777777778,78.53403141361258,0.4072134962187329
transplant,7,3,58.97435897435897,89.74358974358974,39.74358974358975,73.07692307692308,23.07692307692308,0.0,67.94871794871794,17.948717948717952
vertebral-column-2clases,9,2,27.41935483870968,70.96774193548387,21.774193548387096,70.16129032258064,20.967741935483865,7.0,45.96774193548387,-3.2258064516129084
wall-following,41,21,33.87505460899957,95.94954388721574,30.387150277159442,96.30745056959537,30.745056959539085,19.714285714285715,78.77438784863166,13.211994238575361
wine,9,6,19.607843137254896,61.9047619047619,-2.380952380952382,91.90476190476191,27.61904761904762,2.5,67.14285714285714,2.8571428571428563
zoo,15,5,34.0,75.0,18.0,92.0,35.0,3.0,64.0,7.000000000000002
TOTAL,31.155619596541786,6.673076923076923,29.56516356722977,77.38021973195248,15.548389642154342,83.92232576187084,22.090495672072695,13.688760806916427,69.65342430781517,7.82159421801703
