name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,BARINEL_Features average wasted effort,BARINEL_Features average fix accuracy,BARINEL_Features average fix accuracy increase
chatfield_4,5,4,74.46808510638297,78.72340425531915,4.255319148936171,89.36170212765957,14.893617021276597,1.0,82.4468085106383,7.978723404255322
credit-approval,5,6,68.59903381642512,84.05797101449275,15.458937198067632,71.01449275362317,2.4154589371980677,1.6666666666666667,64.25120772946859,-4.347826086956522
dermatology,17,13,59.85247629083245,85.98524762908323,26.132771338250784,90.62170706006322,30.769230769230774,2.230769230769231,74.2887249736565,14.436248682824026
diggle_table_a2,3,6,64.78494623655915,94.35483870967742,29.569892473118284,84.13978494623656,19.35483870967742,0.0,64.78494623655915,0.0
echocardiogram,3,2,50.0,69.23076923076923,19.23076923076923,88.46153846153845,38.46153846153846,0.0,78.84615384615384,28.846153846153843
ecoli,11,8,54.291044776119406,67.16417910447761,12.873134328358214,77.23880597014926,22.94776119402985,5.5,66.6044776119403,12.313432835820896
elusage,7,4,59.090909090909086,45.45454545454545,-13.636363636363637,68.18181818181817,9.090909090909092,0.0,65.9090909090909,6.818181818181818
energy-y1,59,13,73.50427350427351,89.54248366013074,16.038210155857218,90.79939668174963,17.295123177476118,13.0,73.70537958773254,0.2011060834590247
energy-y2,57,11,65.24064171122994,86.9281045751634,21.68746286393345,91.44385026737969,26.203208556149733,11.0,70.05347593582889,4.812834224598933
heart-hungarian,19,4,65.94827586206897,56.896551724137936,-9.051724137931032,56.896551724137936,-9.051724137931036,10.0,66.8103448275862,0.8620689655172429
horse-colic,19,8,60.44520547945205,63.013698630137,2.5684931506849296,82.53424657534246,22.08904109589041,7.75,81.84931506849314,21.404109589041095
ionosphere,5,4,57.142857142857146,85.35714285714285,28.214285714285708,87.14285714285714,30.0,0.5,82.49999999999999,25.35714285714285
iris,13,9,60.370370370370374,78.51851851851852,18.148148148148152,94.8148148148148,34.44444444444444,3.888888888888889,81.11111111111113,20.740740740740744
low-res-spect,59,10,59.52830188679245,76.32075471698113,16.792452830188683,85.28301886792454,25.754716981132084,19.5,71.79245283018868,12.264150943396226
lowbwt,7,3,63.96396396396397,81.08108108108108,17.117117117117118,61.26126126126126,-2.7027027027027004,3.0,64.86486486486486,0.9009009009008991
mammographic,17,5,66.04166666666666,82.8125,16.770833333333332,81.25,15.208333333333332,8.0,73.75,7.708333333333334
meta,19,4,65.23809523809524,83.80952380952381,18.571428571428573,89.04761904761904,23.809523809523807,3.25,61.42857142857143,-3.8095238095238098
mfeat-morphological,17,6,88.41666666666667,99.25,10.833333333333341,99.79166666666667,11.375000000000005,3.5,95.75,7.333333333333338
molec-biol-splice,57,21,74.57829526795045,85.89341692789965,11.31512165994925,88.52067472757128,13.942379459620838,23.285714285714285,82.04955963576653,7.471264367816092
monks-1,51,17,72.1250662427133,67.56756756756758,-4.5574986751457365,74.56279809220986,2.4377318494965543,10.352941176470589,74.82776894541601,2.702702702702701
monks-3,27,10,73.8181818181818,88.36363636363636,14.545454545454547,82.72727272727273,8.90909090909091,5.5,86.1818181818182,12.363636363636369
oocytes_merluccius_states_2f,21,5,68.52941176470588,81.37254901960785,12.843137254901965,86.47058823529412,17.94117647058824,9.2,83.0392156862745,14.509803921568627
oocytes_trisopterus_states_5b,17,11,60.58941058941058,76.92307692307692,16.333666333666336,88.31168831168833,27.722277722277717,7.636363636363637,78.17182817182818,17.582417582417584
parkinsons,3,4,69.23076923076923,86.53846153846155,17.307692307692307,87.17948717948718,17.94871794871795,0.0,69.23076923076923,0.0
pittsburg-bridges-MATERIAL,5,3,49.206349206349195,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,1.3333333333333333,76.19047619047619,26.984126984126988
prnn_synth,13,4,60.5,80.0,19.5,74.0,13.499999999999998,3.0,69.0,8.499999999999998
schlvote,3,3,38.095238095238095,85.71428571428571,47.61904761904761,23.809523809523807,-14.285714285714285,0.0,85.71428571428571,47.61904761904761
seeds,15,8,57.44047619047618,80.95238095238095,23.511904761904763,85.11904761904762,27.678571428571423,6.0,63.0952380952381,5.654761904761905
soybean,59,21,58.29831932773107,52.205882352941195,-6.092436974789911,85.18907563025209,26.890756302521016,9.857142857142858,58.54341736694677,0.24509803921568832
spect,3,2,36.79245283018868,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,75.47169811320755,38.67924528301887
squash-unstored,5,6,61.666666666666664,80.0,18.33333333333334,56.666666666666664,-5.000000000000001,1.3333333333333333,56.666666666666664,-4.999999999999997
statlog-image,57,22,69.37229437229438,88.75442739079104,19.382133018496653,91.44037780401418,22.068083431719796,9.727272727272727,74.55726092089726,5.184966548602913
synthetic-control,39,19,68.6842105263158,66.79824561403508,-1.8859649122807067,89.34210526315789,20.657894736842106,2.4210526315789473,70.83333333333333,2.1491228070175423
tic-tac-toe,49,11,79.29557353641123,71.20418848167539,-8.091385054735845,91.14707282246549,11.851499286054262,10.818181818181818,84.43598286530225,5.140409328891005
transplant,7,4,56.73076923076923,88.46153846153847,31.730769230769234,74.03846153846155,17.30769230769231,0.0,69.23076923076923,12.5
vertebral-column-2clases,9,3,55.376344086021504,70.96774193548387,15.591397849462368,72.58064516129032,17.204301075268813,2.0,64.51612903225806,9.13978494623656
vertebral-column-3clases,9,6,51.34408602150537,69.35483870967742,18.01075268817205,59.13978494623657,7.795698924731184,3.0,52.1505376344086,0.8064516129032251
wall-following,41,21,65.5623936100563,95.94954388721575,30.387150277159442,96.30745056959537,30.745056959539088,10.761904761904763,80.90000436471563,15.337610754659332
wine,9,7,64.89795918367346,62.0408163265306,-2.857142857142858,91.83673469387756,26.938775510204078,4.142857142857143,59.59183673469387,-5.306122448979592
zoo,15,9,67.22222222222223,75.0,7.777777777777778,90.0,22.777777777777775,2.0,67.77777777777777,0.5555555555555548
TOTAL,30.50588235294118,8.057692307692308,63.78223671317269,77.1696055988882,13.387368885715503,83.43627663869599,19.654039925523296,7.910588235294117,72.30021193222498,8.51797521905229
