name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,BARINEL_Features average wasted effort,BARINEL_Features average fix accuracy,BARINEL_Features average fix accuracy increase
mfeat-morphological,17,6,88.41666666666667,99.25,10.833333333333341,99.79166666666667,11.375000000000005,0.5,92.20833333333333,3.7916666666666714
molec-biol-splice,57,21,74.57829526795042,85.89341692789965,11.315121659949252,88.52067472757128,13.942379459620838,3.0476190476190474,82.75115688908791,8.172861621137487
monks-1,51,17,72.1250662427133,67.56756756756758,-4.557498675145737,74.56279809220986,2.4377318494965543,2.9411764705882355,84.10174880763115,11.976682564917855
monks-3,27,10,73.8181818181818,88.36363636363636,14.545454545454547,82.72727272727273,8.90909090909091,0.3,94.63636363636365,20.81818181818182
oocytes_merluccius_states_2f,21,5,68.52941176470588,81.37254901960785,12.843137254901965,86.47058823529412,17.94117647058824,1.2,68.62745098039215,0.09803921568628082
oocytes_trisopterus_states_5b,17,11,60.58941058941058,76.92307692307692,16.333666333666336,88.31168831168831,27.722277722277724,1.6363636363636365,69.08091908091907,8.491508491508494
parkinsons,3,4,69.23076923076923,86.53846153846155,17.307692307692307,87.17948717948718,17.94871794871795,0.0,80.12820512820514,10.897435897435898
pittsburg-bridges-MATERIAL,5,3,49.206349206349195,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,0.6666666666666666,68.25396825396825,19.047619047619047
prnn_synth,13,4,60.5,80.0,19.5,74.0,13.499999999999996,0.0,81.0,20.5
schlvote,3,3,38.095238095238095,85.71428571428571,47.61904761904761,23.809523809523807,-14.285714285714285,0.0,42.857142857142854,4.761904761904762
seeds,15,8,57.4404761904762,80.95238095238095,23.511904761904763,85.1190476190476,27.678571428571423,1.25,65.47619047619048,8.035714285714286
soybean,59,21,58.29831932773109,52.205882352941195,-6.092436974789912,85.18907563025209,26.890756302521016,1.5714285714285714,64.9859943977591,6.687675070028012
spect,3,2,36.79245283018868,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,77.35849056603774,40.566037735849065
squash-unstored,5,6,61.666666666666664,80.0,18.33333333333334,56.666666666666664,-5.000000000000001,0.0,80.0,18.333333333333336
statlog-image,57,22,69.37229437229438,88.75442739079105,19.382133018496656,91.44037780401418,22.068083431719796,2.227272727272727,78.90594254230619,9.533648170011805
synthetic-control,39,19,68.6842105263158,66.79824561403508,-1.8859649122807067,89.34210526315789,20.657894736842106,1.2105263157894737,72.19298245614036,3.5087719298245603
tic-tac-toe,49,11,79.29557353641123,71.20418848167539,-8.091385054735845,91.1470728224655,11.851499286054262,1.7272727272727273,88.10090433127083,8.80533079485959
transplant,7,4,56.73076923076923,88.46153846153847,31.730769230769234,74.03846153846155,17.30769230769231,0.0,58.653846153846146,1.9230769230769207
vertebral-column-2clases,9,3,55.376344086021504,70.96774193548387,15.591397849462368,72.58064516129032,17.204301075268813,1.0,52.1505376344086,-3.2258064516129057
vertebral-column-3clases,9,6,51.34408602150537,69.35483870967742,18.01075268817205,59.13978494623657,7.795698924731184,0.5,63.97849462365591,12.634408602150538
wall-following,41,21,65.56239361005629,95.94954388721574,30.387150277159442,96.30745056959537,30.745056959539088,1.4285714285714286,71.02701758980405,5.46462397974772
wine,9,7,64.89795918367346,62.0408163265306,-2.857142857142858,91.83673469387756,26.938775510204078,0.7142857142857143,69.79591836734694,4.89795918367347
zoo,15,9,67.22222222222223,75.0,7.777777777777778,90.0,22.777777777777775,0.4444444444444444,81.11111111111111,13.888888888888891
TOTAL,30.50588235294118,8.057692307692308,63.78223671317269,77.1696055988882,13.387368885715503,83.43627663869599,19.6540399255233,1.8752941176470588,76.16067832310307,12.378441609930368
