name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,STAT_FuzzySFLDT average wasted effort,STAT_FuzzySFLDT average fix accuracy,STAT_FuzzySFLDT average fix accuracy increase
horse-colic,19,7,22.22222222222223,63.013698630137,4.5009784735812115,81.80039138943248,23.28767123287671,2.2857142857142856,59.29549902152642,0.7827788649706443
ionosphere,5,4,26.428571428571423,85.35714285714285,28.214285714285708,87.14285714285714,30.0,0.0,86.42857142857142,29.285714285714278
iris,13,8,38.333333333333336,78.33333333333333,21.66666666666667,94.58333333333333,37.916666666666664,5.75,68.75,12.083333333333334
low-res-spect,59,7,32.345013477088955,75.47169811320755,20.350404312668466,85.98382749326147,30.862533692722383,13.0,81.53638814016172,26.41509433962264
lowbwt,7,2,30.55555555555555,81.08108108108108,27.027027027027028,51.351351351351354,-2.7027027027027026,2.5,72.97297297297297,18.918918918918912
mammographic,17,3,23.26388888888889,82.8125,22.048611111111114,82.9861111111111,22.222222222222218,7.333333333333333,82.11805555555556,21.35416666666667
meta,19,4,18.75,83.80952380952381,18.571428571428573,89.04761904761904,23.809523809523807,1.25,53.09523809523809,-12.142857142857146
mfeat-morphological,17,1,21.999999999999996,98.25,18.000000000000004,100.0,19.75,6.0,34.25,-46.0
molec-biol-splice,57,19,18.099323543969643,85.89341692789965,12.159709618874778,88.29401088929218,14.560303580267282,26.894736842105264,80.14354066985645,6.409833360831544
monks-1,51,16,28.295454545454543,67.56756756756758,-4.054054054054056,74.38063063063063,2.759009009009008,28.5625,72.63513513513513,1.0135135135135127
monks-3,27,10,29.090909090909086,88.36363636363639,14.54545454545455,82.72727272727272,8.90909090909091,14.8,74.45454545454545,0.6363636363636394
oocytes_merluccius_states_2f,21,5,16.27450980392157,81.37254901960785,12.843137254901965,86.47058823529412,17.94117647058824,7.4,76.5686274509804,8.039215686274513
oocytes_trisopterus_states_5b,17,11,29.970029970029973,76.92307692307692,16.333666333666336,88.31168831168833,27.722277722277724,5.636363636363637,76.97302697302698,16.38361638361638
parkinsons,3,3,28.070175438596493,86.32478632478633,20.51282051282051,87.17948717948718,21.367521367521366,0.0,80.34188034188035,14.52991452991453
pittsburg-bridges-MATERIAL,5,3,56.666666666666664,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,1.3333333333333333,87.3015873015873,38.0952380952381
prnn_synth,13,3,25.33333333333334,82.0,22.666666666666668,78.0,18.666666666666664,2.6666666666666665,73.33333333333333,14.0
rabe_131,3,5,32.0,60.0,-4.000000000000002,62.0,-1.9999999999999996,0.0,64.0,-2.1316282072803005e-15
schlvote,3,1,33.33333333333333,85.71428571428571,57.14285714285714,14.285714285714285,-14.285714285714285,0.0,85.71428571428571,57.14285714285714
seeds,15,5,28.571428571428566,80.47619047619048,29.52380952380952,85.23809523809524,34.285714285714285,7.2,56.19047619047619,5.238095238095239
soybean,59,18,20.588235294117652,52.20588235294119,-5.473856209150322,85.74346405228758,28.063725490196088,14.88888888888889,59.23202614379084,1.5522875816993478
spect,3,2,36.53846153846155,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,76.41509433962264,39.622641509433976
squash-unstored,5,5,44.0,80.0,22.000000000000007,58.0,0.0,0.6,60.0,2.000000000000003
statlog-image,57,21,25.644197072768502,88.72397443826016,19.99587713873428,91.26984126984127,22.5417439703154,38.61904761904762,77.01504844361986,8.286951144094001
synthetic-control,39,15,23.66666666666666,66.66666666666664,-0.05555555555556057,89.05555555555556,22.33333333333333,7.2,70.72222222222221,3.999999999999999
tic-tac-toe,49,9,17.192982456140353,71.20418848167539,-6.922629435718445,91.27399650959862,13.14717859220477,23.333333333333332,77.83595113438045,-0.29086678301337965
transplant,7,3,58.97435897435897,89.74358974358974,39.74358974358975,73.07692307692308,23.07692307692308,0.0,67.94871794871794,17.948717948717952
vertebral-column-2clases,9,2,27.41935483870968,70.96774193548387,21.774193548387096,70.16129032258064,20.967741935483865,7.0,44.354838709677416,-4.8387096774193585
wall-following,41,21,33.87505460899956,95.94954388721575,30.387150277159442,96.30745056959539,30.745056959539088,22.428571428571427,82.34908995678931,16.78669634673301
wine,9,6,19.607843137254893,61.9047619047619,-2.380952380952382,91.90476190476191,27.619047619047617,2.1666666666666665,70.95238095238095,6.666666666666668
zoo,15,5,34.0,75.0,18.0,92.0,35.0,5.4,64.0,7.000000000000002
TOTAL,31.155619596541786,6.673076923076923,29.565163567229774,77.38021973195247,15.54838964215434,83.92232576187084,22.090495672072695,12.881844380403459,71.29612560832845,9.464295518530331
