name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,BARINEL_Paths average wasted effort,BARINEL_Paths average fix accuracy,BARINEL_Paths average fix accuracy increase
low-res-spect,59,7,32.345013477088955,75.47169811320755,20.350404312668466,85.98382749326147,30.862533692722376,4.0,74.79784366576818,19.676549865229113
lowbwt,7,2,30.55555555555555,81.08108108108108,27.027027027027028,51.351351351351354,-2.7027027027027026,1.0,72.97297297297297,18.918918918918912
mammographic,17,3,23.26388888888889,82.8125,22.048611111111114,82.9861111111111,22.222222222222218,3.6666666666666665,79.34027777777779,18.57638888888889
meta,19,4,18.75,83.80952380952381,18.571428571428573,89.04761904761904,23.809523809523807,1.25,52.14285714285714,-13.095238095238098
mfeat-morphological,17,1,21.999999999999996,98.25,18.000000000000004,100.0,19.75,1.0,34.25,-46.0
molec-biol-splice,57,19,18.09932354396965,85.89341692789965,12.15970961887478,88.2940108892922,14.560303580267282,6.894736842105263,81.66969147005446,7.935984161029535
monks-1,51,16,28.295454545454543,67.56756756756758,-4.054054054054056,74.38063063063063,2.759009009009008,2.5,75.90090090090091,4.279279279279278
monks-3,27,10,29.090909090909086,88.36363636363639,14.54545454545455,82.72727272727272,8.90909090909091,1.7,79.0909090909091,5.272727272727274
oocytes_merluccius_states_2f,21,5,16.27450980392157,81.37254901960785,12.843137254901965,86.47058823529412,17.941176470588236,3.8,76.76470588235294,8.235294117647062
oocytes_trisopterus_states_5b,17,11,29.970029970029973,76.92307692307692,16.333666333666336,88.31168831168831,27.722277722277724,2.6363636363636362,79.82017982017982,19.23076923076923
parkinsons,3,3,28.070175438596493,86.32478632478633,20.51282051282051,87.17948717948718,21.367521367521366,0.0,65.81196581196582,0.0
pittsburg-bridges-MATERIAL,5,3,56.666666666666664,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,0.6666666666666666,76.19047619047619,26.984126984126988
prnn_synth,13,3,25.33333333333334,82.0,22.666666666666668,78.0,18.666666666666664,0.6666666666666666,70.66666666666667,11.333333333333334
rabe_131,3,5,32.0,60.0,-4.000000000000002,62.0,-1.9999999999999996,0.0,68.0,3.999999999999998
schlvote,3,1,33.33333333333333,85.71428571428571,57.14285714285714,14.285714285714285,-14.285714285714285,0.0,85.71428571428571,57.14285714285714
seeds,15,5,28.571428571428573,80.47619047619047,29.523809523809526,85.23809523809523,34.28571428571428,0.6,56.19047619047619,5.238095238095239
socmob,37,4,44.347826086956516,76.19047619047619,32.467532467532465,67.85714285714286,24.134199134199136,0.25,41.883116883116884,-1.83982683982684
soybean,59,18,20.58823529411765,52.20588235294119,-5.4738562091503224,85.74346405228756,28.063725490196084,3.2222222222222223,62.00980392156862,4.3300653594771275
spect,3,2,36.53846153846155,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,77.35849056603774,40.566037735849065
squash-unstored,5,5,44.0,80.0,22.000000000000007,58.0,0.0,0.4,64.0,6.000000000000003
statlog-image,57,21,25.6441970727685,88.72397443826019,19.99587713873428,91.26984126984128,22.541743970315395,2.9047619047619047,75.53081838796126,6.802721088435373
synthetic-control,39,15,23.666666666666664,66.66666666666664,-0.05555555555556057,89.05555555555557,22.333333333333332,2.8,73.44444444444444,6.7222222222222205
tic-tac-toe,49,9,17.192982456140353,71.20418848167539,-6.922629435718445,91.27399650959862,13.14717859220477,3.888888888888889,80.74461896451426,2.6178010471204196
transplant,7,3,58.97435897435897,89.74358974358974,39.74358974358975,73.07692307692308,23.07692307692308,0.0,56.41025641025641,6.410256410256412
vertebral-column-2clases,9,2,27.41935483870968,70.96774193548387,21.774193548387096,70.16129032258064,20.967741935483865,1.0,45.96774193548387,-3.2258064516129084
wall-following,41,21,33.87505460899957,95.94954388721577,30.387150277159442,96.30745056959537,30.745056959539085,3.3333333333333335,77.87962114268255,12.317227532626248
wine,9,6,19.607843137254893,61.9047619047619,-2.380952380952382,91.90476190476191,27.619047619047617,1.0,68.09523809523809,3.809523809523809
zoo,15,5,34.0,75.0,18.0,92.0,35.0,1.0,77.0,20.0
TOTAL,31.426136363636363,6.6415094339622645,29.649156426637948,77.34810080989418,15.696481067322974,83.73809359128148,22.086473848710288,2.28125,72.46833957039999,10.816719827828804
